country,min,25%,50%,75%,max
Argentina,4.99,13.29,17.99,26.99,349.99
Armenia,11.99,14.709999999999999,16.99,33.49,140.99
Australia,5.95,14.99,23.45,61.99,1499.0
Austria,9.96,18.49,23.99,41.995000000000005,106.0
Bolivia,18.49,18.615,18.74,18.865,18.99
Brazil,12.99,22.49,62.989999999999995,142.4975,185.0
Bulgaria,7.99,13.4975,17.49,22.99,28.5
Canada,12.98,12.99,15.99,25.68,159.95
Chile,3.99,10.99,14.99,22.99,449.99
Croatia,20.0,25.4925,30.575,37.412499999999994,42.99
Cyprus,17.43,17.43,17.43,17.43,17.43
Czech Republic,23.99,24.865,25.74,26.615,27.49
France,5.95,28.99,59.99,123.95,4499.97
Georgia,13.99,17.2325,21.0,24.99,33.99
Germany,9.99,19.244999999999997,27.99,42.97,129.0
Greece,7.63,16.99,20.0,24.99,105.99
Hungary,7.95,11.865,21.490000000000002,25.0,84.99
India,11.99,13.49,14.99,14.99,14.99
Israel,8.99,14.99,22.99,36.74,122.99
Italy,5.95,19.99,43.855000000000004,77.99,1042.99
Lebanon,7.99,20.689999999999998,23.99,69.97,467.95
Macedonia,13.99,14.99,19.235,26.74,36.99
Mexico,8.99,21.2475,25.99,32.1225,90.16
Moldova,15.99,22.99,27.99,39.99,39.99
Montenegro,15.99,15.99,15.99,15.99,15.99
Morocco,17.99,17.99,17.99,17.99,17.99
New Zealand,9.99,16.99,20.195,28.99,184.22
"Palestinian Territory, Occupied",21.99,24.0,26.99,42.99,85.99
Peru,9.99,11.49,12.14,13.465,16.99
Portugal,4.51,11.27,16.99,32.99,389.0
Romania,8.99,16.737499999999997,24.485,32.2325,39.98
Slovakia,29.0,29.0,29.0,29.0,29.0
Slovenia,10.99,17.99,18.0,18.99,22.99
South Africa,5.99,13.99,18.99,28.99,400.0
Spain,4.59,14.99,23.98,52.99,899.99
Switzerland,16.09,39.99,47.99,160.0,196.0
Turkey,11.99,19.49,25.0,25.5,39.99
United States,1.0,19.77,44.99,89.99,1399.99
Uruguay,9.09,14.9825,17.74,22.99,99.99
