Year,Category,share
1989,BabyBoom,65.38580996129991
1989,GenX,0.3946167028386421
1989,Millennial,0.0
1989,Silent,134.21957333586144
1990,BabyBoom,131.0954720421056
1990,GenX,0.8060769259299139
1990,Millennial,0.0
1990,Silent,268.0984510319645
1991,BabyBoom,135.35010189193133
1991,GenX,2.0647080186772637
1991,Millennial,0.0
1991,Silent,262.5851900893914
1992,BabyBoom,140.81457723023615
1992,GenX,3.670603452723617
1992,Millennial,0.0
1992,Silent,255.51481931704024
1993,BabyBoom,163.56983967592217
1993,GenX,8.445450343092865
1993,Millennial,0.0
1993,Silent,227.98470998098497
1994,BabyBoom,180.87633875035613
1994,GenX,9.86873628134444
1994,Millennial,0.0
1994,Silent,209.25492496829943
1995,BabyBoom,195.5148694923239
1995,GenX,15.524998652188499
1995,Millennial,0.0
1995,Silent,188.9601318554876
1996,BabyBoom,207.16840489622814
1996,GenX,19.15009030140112
1996,Millennial,0.0
1996,Silent,173.68150480237074
1997,BabyBoom,215.7835644472259
1997,GenX,26.670200683052652
1997,Millennial,0.0
1997,Silent,157.54623486972145
1998,BabyBoom,224.21039534052585
1998,GenX,31.80413583211631
1998,Millennial,0.0
1998,Silent,143.9854688273578
1999,BabyBoom,228.53155242600198
1999,GenX,40.79639199117776
1999,Millennial,0.0
1999,Silent,130.67205558282026
2000,BabyBoom,233.5853760042648
2000,GenX,46.538699689503844
2000,Millennial,0.0
2000,Silent,119.87592430623137
2001,BabyBoom,245.5050122587962
2001,GenX,33.102928067615345
2001,Millennial,0.0133997333443491
2001,Silent,121.3786599402441
2002,BabyBoom,259.0761261223415
2002,GenX,24.603422732019006
2002,Millennial,0.0242001776976475
2002,Silent,116.29625096794184
2003,BabyBoom,265.71560322936097
2003,GenX,29.890913448743646
2003,Millennial,0.0968924597783272
2003,Silent,104.29659086211709
2004,BabyBoom,266.9252512883713
2004,GenX,41.48345048529553
2004,Millennial,0.3784934415866072
2004,Silent,91.21280478474654
2005,BabyBoom,268.94710480887846
2005,GenX,47.438707164272024
2005,Millennial,0.5345452227303511
2005,Silent,83.07964280411917
2006,BabyBoom,270.46400418145436
2006,GenX,52.52971057112865
2006,Millennial,0.6485113889145474
2006,Silent,76.35777385850241
2007,BabyBoom,270.8546060739682
2007,GenX,58.288875883767794
2007,Millennial,0.8981544705359235
2007,Silent,69.95836357172807
2008,BabyBoom,282.95470291442945
2008,GenX,50.54433090279413
2008,Millennial,0.5132259515790565
2008,Silent,65.98774023119736
2009,BabyBoom,287.35819815922315
2009,GenX,52.58101767941149
2009,Millennial,1.089443376190175
2009,Silent,58.971340785175194
2010,BabyBoom,275.51553390326444
2010,GenX,72.55382451016729
2010,Millennial,3.621319721543751
2010,Silent,48.30932186502452
2011,BabyBoom,270.305125020216
2011,GenX,82.61489906490627
2011,Millennial,5.148285892643434
2011,Silent,41.93169002223428
2012,BabyBoom,265.25364098881596
2012,GenX,91.65929225305058
2012,Millennial,6.726714726344138
2012,Silent,36.36035203178937
2013,BabyBoom,256.6945005222274
2013,GenX,103.12774105938806
2013,Millennial,9.102003236662936
2013,Silent,31.075755181721597
2014,BabyBoom,249.8934076826198
2014,GenX,109.67400010322922
2014,Millennial,12.440894972868215
2014,Silent,27.99169724128274
2015,BabyBoom,248.55423125840164
2015,GenX,110.01124906945167
2015,Millennial,15.35246346464398
2015,Silent,26.08205620750272
2016,BabyBoom,244.40017447900257
2016,GenX,112.68556459563592
2016,Millennial,18.80951641019319
2016,Silent,24.104744515168317
2017,BabyBoom,229.13428536267133
2017,GenX,125.38424957213712
2017,Millennial,22.429366937134528
2017,Silent,23.052098128057
2018,BabyBoom,215.68987506716957
2018,GenX,136.57654212810965
2018,Millennial,25.577358844979607
2018,Silent,22.156223959741194
2019,BabyBoom,202.89653991597208
2019,GenX,147.3566609541558
2019,Millennial,28.990022412731918
2019,Silent,20.756776717140184
2020,BabyBoom,200.0292697644582
2020,GenX,150.1241112080753
2020,Millennial,29.755290249541606
2020,Silent,20.091328777924854
2021,BabyBoom,192.99645712232913
2021,GenX,155.3696166845749
2021,Millennial,33.09294613112855
2021,Silent,18.540980061967417
2022,BabyBoom,194.95639283564844
2022,GenX,153.9450840534285
2022,Millennial,34.038851841860044
2022,Silent,17.05967126906302
2023,BabyBoom,48.446299134893685
2023,GenX,38.69317374593478
2023,Millennial,8.856248355215396
2023,Silent,4.004278763956144
